Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
57.59624000000002,1414,,,,-0.015625,-0.03125,-1.009765625,0.05584608018004521,290.31933033638194,22.189716339111328,0.9305245280265808,2116,0,20.648075323495277,12.374800693769977,59.931981552240806,23.46052575073323,14.060357964988144,0.48046875,,
57.62830500000002,1414,,,,-0.162109375,0.07421875,-1.037109375,0.05222361607648208,294.5501251190292,22.190858840942383,0.8244977593421936,2109,0,18.296313392235902,11.53414674376306,63.04082410753639,25.53722712764196,16.098878435478834,0.4765625,,
57.652055000000026,1414,,,,-0.025390625,-0.080078125,-0.978515625,0.05705072610967379,287.5279580131541,22.190183639526367,0.9028764367103577,2106,0,20.034993934404042,12.580387576408805,62.79207080170758,22.855254360552205,14.351287499988299,0.47265625,,
57.67935500000001,1414,,,,-0.1875,0.076171875,-1.0859375,0.05681468550745432,281.9274973979671,22.188003540039062,0.9222412109375,2101,0,20.46269125305116,12.497956677919388,61.07679837106391,22.557887234163566,13.777635302782047,0.466796875,,
57.702635000000036,1414,,,,-0.09375,0.025390625,-1.013671875,0.054926783666680516,291.26713466350736,22.189502716064453,0.9326171875,2099,0,20.69431161507964,12.073690476882948,58.34303987229528,24.124118074849264,14.074743827248897,0.4609375,,
57.72500000000003,1414,,,,0.03125,0.005859375,-1.05078125,0.056608903639463456,281.9651438315212,22.188003540039062,0.938720703125,2095,0,20.828338284045458,12.42225841393658,59.6411400877431,22.698380152451456,13.53757270437205,0.458984375,,
57.74920000000004,1414,,,,0.1484375,-0.08984375,-1.04296875,0.05975336065467713,287.5124565405142,22.189146041870117,0.9235491156578064,2099,0,20.492766204171062,13.133584576349241,64.08888114712427,21.891392625457506,14.029948601179786,0.453125,,
57.772600000000004,1414,,,,-0.048828125,-0.005859375,-0.984375,0.057536663833562415,291.3546072591182,22.191001892089844,0.9765625,2095,0,21.670900285243988,12.624442873459746,58.25527646424501,23.07861108640528,13.444508692493294,0.44921875,,
57.797699999999985,1404,,,,-0.099609375,0,-1.005859375,0.059608409091712396,283.4233895077175,22.189716339111328,0.9584263563156128,2094,0,21.26720897857149,13.073891322243568,61.47441037240298,21.678579278497484,13.32677878857026,0.439453125,,
57.821734999999954,1404,,,,-0.048828125,0.005859375,-1.0625,0.05747102551479716,290.4732378147353,22.189502716064453,0.92041015625,2095,0,20.423443662002683,12.606275519311971,61.724534451384606,23.041955363402117,14.222539676555803,0.43359375,,
57.84681499999997,1404,,,,0.046875,0.037109375,-1.1328125,0.061522251653802686,284.22835883694665,22.191001892089844,0.943603515625,2095,0,20.939507400617003,13.495129385033737,64.44817027852379,21.061551225448746,13.57378439707572,0.4296875,,
57.884845,1404,,,,-0.0234375,-0.05078125,-0.98828125,0.05728735114092863,280.7360985007861,22.19150161743164,0.74462890625,2091,0,16.52443357743323,12.542761308973157,75.90433433132809,22.382320095651192,16.989151076511114,0.427734375,,
57.90776999999999,1404,,,,-0.0390625,-0.041015625,-1.013671875,0.04739693447622967,287.7394423898842,22.190462112426758,0.7568359375,2076,0,16.794539196416736,10.303143359274113,61.34817537281631,27.92734531165024,17.13291677876318,0.421875,,
57.932430000000025,1404,,,,0,-0.015625,-1.076171875,0.04444839234398204,279.15051929933344,22.192001342773438,0.8600725531578064,2064,0,19.08673125456062,9.606050863628097,50.328423109812526,29.059862711772215,14.625370660711363,0.4140625,,
57.957670000000014,1404,,,,0.07421875,-0.017578125,-1.11328125,0.045936808175994354,268.42792922470494,22.190502166748047,0.8526611328125,2053,0,18.920978715177625,9.875585297937516,52.193839687667584,27.180964077214263,14.186788816023727,0.40625,,
